HARGA,LT,LB,JKT,JKM,GRS
6500000000,217.0,195,4,3,1
8500000000,307.0,400,4,5,1
13500000000,429.0,600,5,4,1
850000000,76.0,60,2,2,0
14000000000,460.0,500,5,4,1
11200000000,371.0,250,6,3,1
7700000000,200.0,373,4,3,1
10000000000,388.0,343,4,4,1
13500000000,282.0,380,4,4,1
13000000000,410.0,800,4,4,0
27000000000,660.0,800,5,4,1
19000000000,435.0,650,4,4,1
7000000000,384.0,400,4,4,1
27500000000,1068.0,300,5,3,1
17000000000,465.0,640,3,4,0
10000000000,475.0,600,5,5,0
6800000000,210.0,275,3,2,1
21000000000,754.0,500,4,4,1
25000000000,1340.0,600,8,5,1
16000000000,521.0,471,5,5,1
6000000000,329.0,500,5,3,0
21000000000,1018.0,600,4,4,0
33000000000,1100.0,450,4,4,1
2790000000,180.0,250,3,3,1
8500000000,307.0,400,7,6,0
1930000000,111.0,135,3,3,0
14000000000,410.0,800,4,4,1
12750000000,500.0,400,4,3,0
5000000000,188.0,260,4,3,1
25000000000,1040.0,600,4,3,0
25000000000,1000.0,600,9,5,1
39875000000,1362.5,1050,5,5,1
5400000000,165.0,297,3,3,1
14000000000,380.0,350,6,4,1
5600000000,151.0,254,4,3,1
38000000000,1362.5,750,6,4,0
30000000000,557.0,400,4,3,0
17500000000,518.0,450,5,7,1
39500000000,1362.5,900,5,4,1
15000000000,395.0,460,4,4,1
13000000000,235.0,623,5,5,0
8500000000,434.0,380,5,2,0
39875000000,836.0,600,4,4,1
10000000000,230.0,350,3,2,1
20000000000,425.0,500,5,4,1
5800000000,144.0,285,4,3,1
20900000000,754.0,500,4,4,1
24000000000,832.0,650,4,1,0
23000000000,800.0,400,4,4,1
9000000000,256.0,245,4,4,0
1350000000,72.0,150,3,3,0
23000000000,800.0,500,5,4,0
14000000000,464.0,350,4,3,1
15000000000,733.0,140,2,2,0
6500000000,500.0,400,17,18,1
6800000000,376.0,352,5,5,0
10500000000,320.0,360,6,4,1
20000000000,442.0,600,3,4,1
16000000000,895.0,420,5,4,1
15000000000,400.0,500,4,4,0
9000000000,240.0,380,3,3,1
33000000000,1362.5,700,6,6,1
6200000000,450.0,550,4,4,1
39875000000,600.0,500,8,5,1
14500000000,240.0,450,4,4,1
25000000000,900.0,600,4,3,0
6200000000,376.0,352,4,2,1
38000000000,1362.5,1000,7,6,1
9000000000,350.0,650,4,3,1
7000000000,251.0,325,3,3,0
9900000000,452.0,200,3,2,1
15000000000,291.0,400,4,4,1
16000000000,445.0,1050,6,6,1
9000000000,300.0,300,4,3,1
25000000000,700.0,500,4,4,1
10000000000,468.0,410,4,3,1
9500000000,350.0,430,4,4,0
30000000000,778.0,320,3,2,0
15000000000,923.0,900,5,4,0
20000000000,1050.0,650,4,4,1
15000000000,530.0,633,4,3,0
5900000000,188.0,314,4,4,0
39875000000,1362.5,1050,5,5,1
17800000000,430.0,500,4,4,1
11500000000,375.0,400,5,4,1
12000000000,340.0,600,11,11,1
39875000000,325.0,500,3,3,1
7900000000,266.0,475,4,4,1
7000000000,250.0,280,3,3,1
7000000000,230.0,400,4,4,1
20000000000,600.0,890,6,6,1
11000000000,575.0,210,4,3,1
22000000000,1362.5,400,4,4,1
20000000000,610.0,1000,6,6,0
16000000000,835.0,600,5,5,0
8750000000,158.0,400,3,3,1
39000000000,1362.5,1000,6,5,0
10500000000,424.0,313,7,4,1
14000000000,651.0,350,5,3,1
11000000000,400.0,225,4,3,1
24000000000,354.0,350,3,3,1
14500000000,600.0,500,5,4,1
8500000000,200.0,400,4,4,1
9900000000,611.0,500,7,4,1
21000000000,557.0,882,5,4,1
6000000000,144.0,250,4,3,1
14000000000,661.0,800,4,4,0
12900000000,539.0,610,4,4,1
17640000000,503.0,541,4,3,1
12000000000,600.0,500,4,4,1
10000000000,237.0,250,4,3,1
3790000000,248.0,248,4,2,0
9000000000,600.0,400,4,3,0
39875000000,1362.5,1050,5,5,1
9500000000,274.0,258,3,3,1
17500000000,518.0,450,5,7,1
8250000000,159.0,278,3,3,1
4300000000,123.0,190,3,3,0
4300000000,152.0,230,4,2,0
5620000000,122.0,311,3,3,1
3250000000,240.0,200,3,3,1
6500000000,144.0,285,4,3,1
25000000000,1020.0,800,5,3,1
23000000000,752.0,400,4,3,1
17700000000,860.0,750,5,4,1
7700000000,190.0,300,3,2,1
16000000000,465.0,640,4,4,1
6000000000,200.0,272,4,4,1
15000000000,500.0,765,4,4,1
25000000000,685.0,450,4,4,1
20000000000,910.0,450,5,4,1
15000000000,580.0,220,4,3,0
8500000000,246.0,221,3,3,1
4000000000,125.0,125,3,3,1
11500000000,400.0,300,3,3,1
27500000000,1010.0,605,6,6,1
6000000000,182.0,500,4,3,1
17500000000,477.0,550,4,4,1
17000000000,300.0,475,5,4,1
7500000000,259.0,410,4,3,1
28000000000,572.0,450,8,7,1
7000000000,349.0,349,9,5,1
9000000000,200.0,480,4,3,1
39000000000,973.0,1050,4,4,1
39875000000,1362.5,1050,5,5,1
4000000000,219.0,103,4,2,1
9000000000,490.0,350,4,3,1
25000000000,1000.0,800,4,3,1
3800000000,153.0,180,4,3,0
15000000000,506.0,400,3,3,0
17000000000,465.0,640,4,4,1
7300000000,278.0,350,4,4,1
8500000000,250.0,400,4,4,1
39875000000,1362.5,1000,4,3,1
17000000000,851.0,450,4,3,1
17000000000,392.0,327,4,4,1
10000000000,402.0,236,3,3,1
12000000000,254.0,370,4,4,1
10500000000,380.0,300,3,3,1
17500000000,417.0,560,4,4,1
5250000000,135.0,250,3,4,1
13500000000,565.0,380,3,3,1
10500000000,220.0,350,4,3,1
17000000000,440.0,350,4,4,1
7900000000,356.0,450,4,3,1
18600000000,474.0,455,4,4,0
35000000000,1200.0,900,6,6,1
25000000000,670.0,650,3,3,0
22000000000,754.0,500,4,4,1
